rank,source,imported,score,status,row_count
1,18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,150,wxyzti_station_provenance_law_audit_recorded,24
2,18-g900-kernel-admission/artifacts/json/wxyzti_g30_shadow_sheet_audit_011.v1.json,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_g30_shadow_sheet_audit_011.v1.json,150,wxyzti_g30_shadow_sheet_audit_recorded,24
3,18-g900-kernel-admission/artifacts/json/wxyzti_same_sheet_wrap_carry_audit_012.v1.json,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_same_sheet_wrap_carry_audit_012.v1.json,150,wxyzti_same_sheet_wrap_carry_audit_recorded,24
4,18-g900-kernel-admission/artifacts/json/wxyzti_ambiguous_source_split_audit_014.v1.json,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_ambiguous_source_split_audit_014.v1.json,145,wxyzti_ambiguous_source_split_audit_recorded,24
5,18-g900-kernel-admission/artifacts/json/wxyzti_reverse_partner_vs_sharedB_audit_016.v1.json,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_reverse_partner_vs_sharedB_audit_016.v1.json,135,wxyzti_reverse_partner_vs_sharedB_audit_recorded,24
6,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_sharedB_residual_law_search_017.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_sharedB_residual_law_search_017.v1.json,135,wxyzti_sharedB_residual_law_search_recorded,
7,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_role_class_invariant_audit_018.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_role_class_invariant_audit_018.v1.json,145,wxyzti_role_class_invariant_audit_recorded,24
8,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_station_transform_map_audit_019.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_station_transform_map_audit_019.v1.json,135,wxyzti_station_transform_map_audit_recorded,24
9,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_shared_reverse_pair_coupling_audit_021.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_shared_reverse_pair_coupling_audit_021.v1.json,135,wxyzti_shared_reverse_pair_coupling_audit_recorded,
10,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_answer_pair_candidate_universe_audit_022.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_answer_pair_candidate_universe_audit_022.v1.json,135,wxyzti_answer_pair_candidate_universe_audit_recorded,12
11,18-g900-kernel-admission/artifacts/json/wxyzti_station_transition_feature_inspection_009.v1.json,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_transition_feature_inspection_009.v1.json,131,wxyzti_station_transition_feature_inspection_recorded,
12,18-g900-kernel-admission/artifacts/json/c_transition_overlay_delta_generator_001.v1.json,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/c_transition_overlay_delta_generator_001.v1.json,131,c_transition_overlay_delta_generator_found,
13,21-gap-a-answer-pair-generator/artifacts/json/synthetic_pair_skeleton_universe_003.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/artifacts/json/synthetic_pair_skeleton_universe_003.v1.json,135,synthetic_pair_skeleton_universe_recorded,
14,21-gap-a-answer-pair-generator/artifacts/json/triangle_frame_assignment_audit_006.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/artifacts/json/triangle_frame_assignment_audit_006.v1.json,135,triangle_frame_assignment_audit_recorded,48
15,18-g900-kernel-admission/artifacts/json/g60_native_overlay_generator_family_search_001.v1.json,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/g60_native_overlay_generator_family_search_001.v1.json,131,g60_native_overlay_generator_not_found_in_tested_family,
16,21-gap-a-answer-pair-generator/artifacts/json/native_rule_member_alignment_012.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/artifacts/json/native_rule_member_alignment_012.v1.json,121,native_rule_member_alignment_recorded,
17,21-gap-a-answer-pair-generator/artifacts/json/native_chain_schema_inspection_011.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/artifacts/json/native_chain_schema_inspection_011.v1.json,112,native_chain_schema_inspection_recorded,
18,18-g900-kernel-admission/artifacts/json/from_c_lift_q_overlay_delta_formula_001.v1.json,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/from_c_lift_q_overlay_delta_formula_001.v1.json,101,from_c_lift_q_overlay_delta_formula_found,
19,21-gap-a-answer-pair-generator/artifacts/json/native_members_vs_g60_overlay_edges_014.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/artifacts/json/native_members_vs_g60_overlay_edges_014.v1.json,101,native_members_vs_g60_overlay_edges_recorded,
20,21-gap-a-answer-pair-generator/artifacts/json/sharedB_residual_selector_profile_017.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/artifacts/json/sharedB_residual_selector_profile_017.v1.json,90,sharedB_residual_selector_profile_recorded,12
21,21-gap-a-answer-pair-generator/artifacts/json/source_artifact_schema_inventory_009.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/artifacts/json/source_artifact_schema_inventory_009.v1.json,82,source_artifact_schema_inventory_recorded,
22,18-g900-kernel-admission/artifacts/json/c_transition_role_channel_grammar_audit_004.v1.json,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/c_transition_role_channel_grammar_audit_004.v1.json,76,c_transition_role_channel_grammar_audit_recorded,
23,21-gap-a-answer-pair-generator/artifacts/json/native_rule_member_target_table_013.v1.json,source/upstream_station_provenance/21-gap-a-answer-pair-generator/artifacts/json/native_rule_member_target_table_013.v1.json,71,native_rule_member_target_table_recorded,
24,18-g900-kernel-admission/artifacts/json/c_transition_delta_lift_decomposition_001.v1.json,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/c_transition_delta_lift_decomposition_001.v1.json,70,c_transition_delta_lift_decomposition_found,24
