rank,file,score,dict_count,key_counts,role_token_counts,state_token_counts,example_count
1,18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,150,153,"{""edge_role"": 24, ""from_A"": 48, ""from_B"": 48, ""from_C"": 48, ""from_fiber"": 48, ""from_slot"": 48, ""lift_q"": 24, ""reverse_partner"": 1, ""role_pair"": 27, ""shared_B"": 1, ""source"": 24, ""station_role"": 30, ""to_A"": 48, ""to_B"": 48, ""to_C"": 48, ""to_fiber"": 48, ""to_slot"": 48}","{""IW"": 17, ""TI"": 17, ""WX"": 17, ""XY"": 17, ""YZ"": 17, ""ZT"": 17, ""reverse_partner"": 27, ""shared_B"": 27}",{},8
2,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,150,153,"{""edge_role"": 24, ""from_A"": 48, ""from_B"": 48, ""from_C"": 48, ""from_fiber"": 48, ""from_slot"": 48, ""lift_q"": 24, ""reverse_partner"": 1, ""role_pair"": 27, ""shared_B"": 1, ""source"": 24, ""station_role"": 30, ""to_A"": 48, ""to_B"": 48, ""to_C"": 48, ""to_fiber"": 48, ""to_slot"": 48}","{""IW"": 17, ""TI"": 17, ""WX"": 17, ""XY"": 17, ""YZ"": 17, ""ZT"": 17, ""reverse_partner"": 27, ""shared_B"": 27}",{},8
3,18-g900-kernel-admission/artifacts/json/wxyzti_g30_shadow_sheet_audit_011.v1.json,150,240,"{""edge_role"": 24, ""from_A"": 48, ""from_B"": 48, ""from_C"": 48, ""from_fiber"": 48, ""from_slot"": 48, ""lift_q"": 26, ""role_pair"": 27, ""source"": 24, ""station_role"": 30, ""to_A"": 48, ""to_B"": 48, ""to_C"": 48, ""to_fiber"": 48, ""to_slot"": 48}","{""IW"": 15, ""TI"": 15, ""WX"": 15, ""XY"": 15, ""YZ"": 15, ""ZT"": 15, ""reverse_partner"": 24, ""shared_B"": 24}",{},8
4,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_g30_shadow_sheet_audit_011.v1.json,150,240,"{""edge_role"": 24, ""from_A"": 48, ""from_B"": 48, ""from_C"": 48, ""from_fiber"": 48, ""from_slot"": 48, ""lift_q"": 26, ""role_pair"": 27, ""source"": 24, ""station_role"": 30, ""to_A"": 48, ""to_B"": 48, ""to_C"": 48, ""to_fiber"": 48, ""to_slot"": 48}","{""IW"": 15, ""TI"": 15, ""WX"": 15, ""XY"": 15, ""YZ"": 15, ""ZT"": 15, ""reverse_partner"": 24, ""shared_B"": 24}",{},8
5,18-g900-kernel-admission/artifacts/json/wxyzti_same_sheet_wrap_carry_audit_012.v1.json,150,106,"{""edge_role"": 24, ""from_A"": 48, ""from_B"": 48, ""from_C"": 48, ""from_fiber"": 48, ""from_slot"": 48, ""lift_q"": 24, ""role_pair"": 27, ""source"": 24, ""station_role"": 30, ""to_A"": 48, ""to_B"": 48, ""to_C"": 48, ""to_fiber"": 48, ""to_slot"": 48}","{""IW"": 15, ""TI"": 15, ""WX"": 15, ""XY"": 15, ""YZ"": 15, ""ZT"": 15, ""reverse_partner"": 24, ""shared_B"": 24}",{},8
6,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_same_sheet_wrap_carry_audit_012.v1.json,150,106,"{""edge_role"": 24, ""from_A"": 48, ""from_B"": 48, ""from_C"": 48, ""from_fiber"": 48, ""from_slot"": 48, ""lift_q"": 24, ""role_pair"": 27, ""source"": 24, ""station_role"": 30, ""to_A"": 48, ""to_B"": 48, ""to_C"": 48, ""to_fiber"": 48, ""to_slot"": 48}","{""IW"": 15, ""TI"": 15, ""WX"": 15, ""XY"": 15, ""YZ"": 15, ""ZT"": 15, ""reverse_partner"": 24, ""shared_B"": 24}",{},8
7,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_role_class_invariant_audit_018.v1.json,145,304,"{""from_A"": 72, ""from_B"": 72, ""from_C"": 72, ""from_fiber"": 72, ""from_slot"": 72, ""lift_q"": 72, ""role_pair"": 72, ""station_role"": 72, ""to_A"": 72, ""to_B"": 72, ""to_C"": 72, ""to_fiber"": 72, ""to_slot"": 72}","{""IW"": 38, ""TI"": 38, ""WX"": 38, ""XY"": 38, ""YZ"": 38, ""ZT"": 38, ""reverse_partner"": 44, ""shared_B"": 44}",{},8
8,18-g900-kernel-admission/artifacts/json/wxyzti_ambiguous_source_split_audit_014.v1.json,145,107,"{""from_A"": 8, ""from_B"": 8, ""from_C"": 10, ""from_fiber"": 8, ""from_slot"": 8, ""lift_q"": 8, ""role_pair"": 8, ""station_role"": 10, ""target"": 29, ""to_A"": 8, ""to_B"": 8, ""to_C"": 8, ""to_fiber"": 8, ""to_slot"": 8}","{""IW"": 19, ""YZ"": 19, ""reverse_partner"": 7, ""shared_B"": 7}",{},8
9,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_ambiguous_source_split_audit_014.v1.json,145,107,"{""from_A"": 8, ""from_B"": 8, ""from_C"": 10, ""from_fiber"": 8, ""from_slot"": 8, ""lift_q"": 8, ""role_pair"": 8, ""station_role"": 10, ""target"": 29, ""to_A"": 8, ""to_B"": 8, ""to_C"": 8, ""to_fiber"": 8, ""to_slot"": 8}","{""IW"": 19, ""YZ"": 19, ""reverse_partner"": 7, ""shared_B"": 7}",{},8
10,18-g900-kernel-admission/artifacts/json/wxyzti_reverse_partner_vs_sharedB_audit_016.v1.json,135,625,"{""from_A"": 528, ""from_B"": 528, ""from_C"": 528, ""from_slot"": 528, ""lift_q"": 48, ""role_pair"": 48, ""station_role"": 528, ""to_A"": 48, ""to_B"": 48, ""to_C"": 528, ""to_slot"": 48}","{""IW"": 123, ""TI"": 123, ""WX"": 123, ""XY"": 123, ""YZ"": 123, ""ZT"": 123, ""reverse_partner"": 29, ""shared_B"": 29}",{},8
